Site,Site_desc,Site_abbr
ALLIGATOR RIVER NWR,,AllNWR
ARKANSAS ECOLOGICAL SERVICE,Mill Creek,ConwES1
ARKANSAS ECOLOGICAL SERVICE,Fifty-Six,ConwES2
ATCHAFALAYA NWR,,AtcNWR
BALD KNOB NWR,,BldNWR
BAYOU COCODRIE NWR,Wallace Lake,BycNWR2
BAYOU COCODRIE NWR,Brooks Brake,BycNWR1
BAYOU SAUVAGE NWR,,BsuNWR
BAYOU TECHE NWR,,BytNWR
BIG BRANCH MARSH NWR,,BbmNWR
BIG LAKE NWR,,BglNWR
BIG OAKS NWR,East Route,BokNWR1
BIG OAKS NWR,West Route,BokNWR2
BOGUE CHITTO NWR,,BctNWR
BON SECOUR NWR,,BonNWR
CACHE RIVER NWR,Bisco to George Tract,CchNWR1
CACHE RIVER NWR,Howell to Revel Tract,CchNWR2
CADDO LAKE NWR,,CadNWR
CAROLINA SANDHILLS NWR,,CrsNWR
CAT ISLAND NWR,,CatNWR
CATAHOULA NWR,,CthNWR
CHICKASAW NWR,,ChkNWR
CLARKS RIVER NWR,,ClkNWR
COLDWATER RIVER NWR,,CldNWR
CRAB ORCHARD NWR,Northeast,CroNWR1
CRAB ORCHARD NWR,Southwest,CroNWR2
CYPRESS CREEK NWR,,CypNWR
DAHOMEY NWR,,DhmNWR
EUFAULA NWR,Bradley,EflNWR3
EUFAULA NWR,Houston,EflNWR1
EUFAULA NWR,Kennedy,EflNWR2
FELSENTHAL NWR,,FslNWR
FERN CAVE NWR,,FecNWR
HILLSIDE NWR,,HldNWR
HOLLA BEND NWR,,HlbNWR
KEY CAVE NWR,,KecNWR
LAKE OPHELIA NWR,,LopNWR
LITTLE RIVER NWR,,LrvNWR
LITTLE SANDY NWR,,LsdNWR
MATHEWS BRAKE NWR,,MbrNWR
MIDDLE MISSISSIPPI RIVER NWR,Wilkinson Island,MmrNWR
MINGO NWR,,MngNWR
MISSISSIPPI SANDHILL CRANE NWR,,MisNWR
MORGAN BRAKE NWR,,MbkNWR
MUSCATATUCK NWR,,MscNWR
NECHES RIVER NWR,,NecNWR
OVERFLOW NWR,,OvfNWR
OZARK PLATEAU NWR,Jan Stan,ObcNWR3
OZARK PLATEAU NWR,Nickel Preserve,ObcNWR4
OZARK PLATEAU NWR,Sally Bull,ObcNWR5
PANTHER SWAMP NWR,,PnsNWR
PATOKA RIVER NWR,East,PtkNWR1
PATOKA RIVER NWR,West,PtkNWR2
PIEDMONT NWR,,PdmNWR
POND CREEK NWR,,PncNWR
ROANOKE RIVER NWR,Town Swamp,RrvNWR2
ROANOKE RIVER NWR,Company Swamp,RrvNWR1
SAM D. HAMILTON NOXUBEE NWR,Bottomland Route,NxbNWR2
SAM D. HAMILTON NOXUBEE NWR,Upland Route,NxbNWR
SANTEE NWR,Pine_Dingle_ Bluff,SntNWR2
SANTEE NWR,Discontinued - Dingle,SntNWR3
SANTEE NWR,Cuddo,SntNWR1
SANTEE NWR,Discontinued - Bluff,SntNWR4
SEQUOYAH NWR,,SqhNWR
ST. CATHERINE CREEK NWR,Homochitto Levee,SccNWR2
ST. CATHERINE CREEK NWR,Discontinued - Pintail Ln,SccNWR1
TALLAHATCHIE NWR,,TlhNWR
TENNESSEE NWR,,TnsNWR
TENSAS RIVER NWR,,TnrNWR
TN ECOLOGICAL SERVICE,Bumpus Mills,CookES2
TN ECOLOGICAL SERVICE,Gap Creek,CookES3
TN ECOLOGICAL SERVICE,Roaring River,CookES1
TRINITY RIVER NWR,,TrnNWR
UPPER OUACHITA NWR,,UocNWR
WAPANOCCA NWR,,WpnNWR
WHEELER NWR,,WlrNWR
WHITE RIVER NWR,Jacks Bay,WhrNWR1
WHITE RIVER NWR,Farm Unit,WhrNWR2
WHITE RIVER NWR,Long Lake,WhrNWR3
YAZOO NWR,,YzoNWR
